S1_time,S1_IBI,S2_time,S2_IBI,S3_time,S3_IBI,S4_time,S4_IBI,S5_time,S5_IBI,S6_time,S6_IBI,S7_time,S7_IBI,S8_time,S8_IBI,S9_time,S9_IBI,S10_time,S10_IBI
134.287397,0.421894,87.253994,0.406269,154.147681,0.453146,589.745745,0.484397,859.023696,0.703157,83.144431,0.515649,90.98854,0.421894,327.780629,0.43752,302.982619,0.484397,330.952649,0.484397
134.740543,0.453146,87.722766,0.468771,154.647704,0.500023,590.136388,0.390643,859.726853,0.703157,87.019608,0.406269,91.472937,0.484397,328.327529,0.5469,303.357636,0.375017,331.452672,0.500023
135.162437,0.421894,88.129034,0.406269,155.085224,0.43752,590.60516,0.468771,867.180319,0.625029,87.472754,0.453146,91.894831,0.421894,328.780675,0.453146,303.842034,0.484397,336.406024,0.593777
135.599957,0.43752,88.597806,0.468771,155.585247,0.500023,596.199166,0.515649,867.727219,0.5469,87.9259,0.453146,94.05118,0.453146,329.186943,0.406269,304.232677,0.390643,336.859169,0.453146
136.006226,0.406269,89.004074,0.406269,156.069644,0.484397,600.152472,0.43752,868.352248,0.625029,88.441548,0.515649,94.473074,0.421894,355.516273,0.421894,304.732699,0.500023,337.374818,0.515649
136.459371,0.453146,89.504097,0.500023,156.491538,0.421894,607.168418,0.531274,868.946025,0.593777,95.613752,0.453146,94.894969,0.421894,356.094425,0.578151,305.107717,0.375017,337.937344,0.562526
136.912517,0.453146,89.879114,0.375017,156.85093,0.359391,607.699692,0.531274,869.571054,0.625029,96.082523,0.468771,95.348114,0.453146,356.563196,0.468771,305.576488,0.468771,346.250224,0.562526
137.30316,0.390643,90.363512,0.484397,274.371934,0.359391,608.137212,0.43752,870.227334,0.65628,103.004715,0.390643,95.785634,0.43752,357.031968,0.468771,305.998382,0.421894,346.765873,0.515649
137.787557,0.484397,90.785406,0.421894,346.625242,0.484397,608.699738,0.562526,870.89924,0.671906,103.473486,0.468771,96.223154,0.43752,373.517097,0.468771,306.467154,0.468771,347.312773,0.5469
138.28758,0.500023,91.254177,0.468771,357.235102,0.500023,609.246638,0.5469,871.508642,0.609403,103.989135,0.515649,96.6763,0.453146,374.032746,0.515649,306.873422,0.406269,347.765918,0.453146
