relative_time,S1_EDA,S2_EDA,S3_EDA,S4_EDA,S5_EDA,S6_EDA,S7_EDA,S8_EDA,S9_EDA,S10_EDA
26.25,0.021784,0.01794,0.003845,0.0,0.0,0.0,0.0,0.002563,0.01794,0.01922
26.5,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.016657
26.75,0.023065,0.016658,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.020501
27.0,0.021784,0.016658,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
27.25,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.003845,0.016658,0.017939
27.5,0.021784,0.016658,0.003845,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
27.75,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
28.0,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.002563,0.019221,0.017939
28.25,0.025628,0.01794,0.003845,0.0,0.0,0.001281,0.0,0.002563,0.01794,0.017939
28.5,0.023065,0.014096,0.002563,0.0,0.0,0.001281,0.0,0.001282,0.019221,0.021783
28.75,0.021784,0.016658,0.001282,0.0,0.0,0.001281,0.0,0.002563,0.01794,0.017939
29.0,0.023065,0.016658,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
29.25,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.001281,0.002563,0.020503,0.017939
29.5,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
29.75,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
30.0,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.01794,0.01922
30.25,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.005126,0.019221,0.01922
30.5,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.01794,0.01922
30.75,0.023065,0.015377,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
31.0,0.023065,0.015377,0.002563,0.0,0.0,0.001281,0.0,0.001282,0.01794,0.020501
31.25,0.024347,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
31.5,0.021784,0.015377,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
31.75,0.023065,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
32.0,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
32.25,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
32.5,0.023065,0.015377,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
32.75,0.021784,0.015377,0.001282,0.0,0.0,0.001281,0.0,0.0,0.016658,0.01922
33.0,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
33.25,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
33.5,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
33.75,0.024347,0.015377,0.001282,0.0,0.0,0.0,0.0,0.005126,0.01794,0.017939
34.0,0.024347,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.01922
34.25,0.023065,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
34.5,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
34.75,0.024347,0.012814,0.002563,0.0,0.0,0.0,0.0,0.002563,0.01794,0.01922
35.0,0.021784,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.019221,0.017939
35.25,0.021784,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
35.5,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
35.75,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
36.0,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
36.25,0.024347,0.012814,0.002563,0.0,0.0,0.001281,0.002562,0.001282,0.016658,0.017939
36.5,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
36.75,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
37.0,0.021784,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
37.25,0.023065,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
37.5,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.021783
37.75,0.023065,0.014096,0.003845,0.0,0.0,0.0,0.0,0.001282,0.016658,0.021783
38.0,0.021784,0.012814,0.003845,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
38.25,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
38.5,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.01922
38.75,0.024347,0.012814,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
39.0,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.01922
39.25,0.025628,0.014096,0.003845,0.0,0.0,0.0,0.001281,0.002563,0.016658,0.017939
